Country,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)_x","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Current account balance (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)",Gini index,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)_y",Urban population (% of total population),agr_area_harvested_avg,agr_production_avg,agr_yield_avg,agr_area_harvested_item_count,agr_production_item_count,agr_yield_item_count,agr_area_harvested_total,agr_production_total,agr_yield_total,pop_rural_population,pop_total_population___both_sexes,pop_total_population___female,pop_total_population___male,pop_urban_population,disaster_count,disaster_deaths,disaster_injured,disaster_affected,disaster_total_affected,disaster_damage_usd_thousands,disaster_aid_usd_thousands,Trade_Dependency_Index,Resilience_Score,Spending_Efficiency,Shock_Impact_Score
Israel,2008,0.3327123711562557,221231658862.876,0.4428903321898643,0.3516994417694212,0.3322848289889111,0.23096381472044944,75.380922305658,0.771624684531177,0.4572451671961659,44.143,44.139,50.203,50.266,47.233,3.8,3.9,3.69,10.54,11.81,10.07,7.857,7.574,7.704,13.098,11.954,12.481,1.21601040910127,0.1327831977699491,4.64409119960907,41.6,83.0,79.0,0.8778961093620401,1.7765791059698,0.7,7.704,91.702,3821.25,64427.180703125,17905.838028169015,72.0,128.0,71.0,275130.0,8246679.13,1271314.5,588921.0,0.0021911874683597,3581171.0,3501450.0,6508489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33249860007258336,0.6450737891385253,0.9668766005386893,0.0
Israel,2009,0.2712077936768883,213403181852.86,0.4208522035369772,0.331147330708338,0.2369289227990845,0.21206948357933694,61.67564796397,0.7733125432011445,0.3937590867481557,44.049,43.924,45.879,45.902,44.983,5.23,5.39,5.03,11.67,12.67,11.28,9.181,9.841,9.534,13.783,15.546,14.709,3.50950718493218,0.1327831977699491,2.15877755898524,42.6,83.3,79.6,0.893245746871274,2.39020733801215,0.7,9.534,91.763,3757.8611111111113,66228.71546875,18426.146478873237,72.0,128.0,71.0,270566.0,8477275.58,1308256.4,598671.0,0.0022760927964709,3642340.0,3563756.0,6669224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540683582379864,0.6325445884609672,0.9602545909113683,0.0
Israel,2010,0.290822253356141,239679036634.372,0.4685698586694338,0.3653548010637056,0.262620660369959,0.20156672926458113,65.6330798689153,0.789548136121783,0.4210058693662162,43.992,43.775,46.343,46.327,45.192,4.39,4.63,4.11,11.24,11.08,11.3,7.951,8.94,8.48,13.542,14.829,14.22,3.44068472395444,0.1327831977699491,2.91418894955553,42.6,83.6,79.7,0.8999302664317477,1.82675240987847,0.5,8.48,91.826,3838.042253521127,66915.16181102363,17936.20704225352,71.0,127.0,71.0,272501.0,8498225.55,1273470.7,606998.0,0.0023659235907882,3707066.0,3629669.0,6818961.0,2.0,0.0005200678349349,5.966603294107437e-05,5.7719668424631726e-05,20022.0,0.001270468661773,574.0,0.27672145686305,0.6576368155300473,1.0927285421462984,0.8060768017603206
Israel,2011,0.2983338251057083,268094998225.028,0.4683972273559415,0.401346279259698,0.2925600105056088,0.21410383033760255,68.9094378497374,0.7937115208410358,0.4490603629314522,42.643,42.464,46.226,46.324,44.471,4.01,4.34,3.63,8.55,7.82,8.84,6.951,7.302,7.139,11.716,11.922,11.825,1.69641359596817,0.1327831977699491,3.22758725723671,41.4,83.5,79.9,0.9017458149543428,1.84807786159597,0.3,7.139,91.892,3871.422535211267,68922.60527559054,17635.778873239437,71.0,127.0,71.0,274871.0,8753170.87,1252140.3,613695.0,0.0024582635329745,3773722.0,3697300.0,6955079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29544691780565857,0.6638429947321761,1.1569908637356079,0.0
Israel,2012,0.3044980537097426,263589172712.391,0.4342840727558744,0.387326496649054,0.2984867539968931,0.18557640435705197,69.9650250827043,0.8274526193959072,0.517123472080125,43.69,43.669,48.541,48.637,46.167,3.977,4.121,3.808,12.944,12.912,12.957,6.874,6.664,6.762,12.638,11.423,11.99,0.372815009769858,0.1327831977699491,3.42096752579402,41.3,83.6,79.9,0.9033963136112502,1.84615132126711,0.7,6.762,91.96,4210.549295774648,70414.85574803149,18061.508450704227,71.0,127.0,71.0,298949.0,8942686.68,1282367.1,619009.0,0.0025523012241574,3841499.0,3766281.0,7080096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3014924038533179,0.6699894773683802,1.2166282324549094,0.0
Israel,2013,0.2825106731649842,298478070673.058,0.4524815234474598,0.4306652884354636,0.2537649162447641,0.18385516485717188,64.1340511293501,0.8318571267822983,0.5240159388293577,44.28,44.295,49.701,49.791,47.049,3.851,3.875,3.824,10.945,11.13,10.866,6.174,6.104,6.137,10.551,10.271,10.4,2.92178918884548,0.1327831977699491,3.96752765564861,39.9,83.9,80.3,0.915279903940978,1.86605289478673,0.5,6.137,92.031,4420.154929577465,70973.56897637795,17865.76338028169,71.0,127.0,71.0,313831.0,9013643.26,1268469.2,623292.0,0.0026496684012219,3911633.0,3837745.0,7197813.0,1.0,4.522328999434709e-05,0.0081362772192374,0.0057719668424631,2003000.0,0.0,0.0,0.26813779470487414,0.6789907249985265,1.3601129210919403,5.2641316225230605
Israel,2014,0.2673866611319485,315017088116.716,0.4490400225214702,0.4459445030711629,0.2411550563472714,0.16662775192488488,61.7133541160002,0.8499734765066147,0.5310699477680254,44.357,44.345,49.634,49.728,47.052,3.646,3.765,3.505,10.538,11.646,10.057,5.804,5.775,5.789,11.013,9.924,10.43,4.16478994153455,0.1327831977699491,1.9201815482971,39.8,84.1,80.3,0.9185809012547924,1.91954379859591,0.7,5.789,92.104,4409.901408450704,71206.42775193798,17637.070422535213,71.0,129.0,71.0,313103.0,9185629.18,1252232.0,627075.0,0.0027512995481237,3984800.0,3912378.0,7314254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25427085873961,0.6860475453045276,1.4894011529121587,0.0
Israel,2015,0.2601790316241663,303469434072.296,0.4319566652145731,0.4210796631426493,0.2161760089708124,0.14954869746357677,58.897971915566,0.8542654599816746,0.541920198158419,44.539,44.504,49.353,49.463,46.998,3.352,3.704,2.936,9.539,10.485,9.135,5.31,5.058,5.176,9.651,8.809,9.202,5.31773489785977,0.1327831977699491,3.73553271836246,39.7,84.1,80.1,0.9151148540752868,1.98128897562083,0.5,5.176,92.179,4181.69014084507,69029.25054263567,16587.526760563378,71.0,129.0,71.0,296900.0,8904773.32,1177714.4,630733.0,0.0028583828828724,4062026.0,3990883.0,7433814.0,1.0,0.0,0.0005424184812824,0.0,200.0,0.0,0.0,0.23817752029748934,0.6817214494533023,1.491429692577487,0.1896977437094791
Israel,2016,0.2467811430329848,321940971558.016,0.4566359421710633,0.4381032938991438,0.2169398935004035,0.15033447736586997,57.7990316850783,0.8631226992878843,0.5470895482203435,44.923,44.879,48.835,48.919,46.921,2.924,2.868,2.99,9.571,11.671,8.594,4.865,4.597,4.723,8.953,8.124,8.514,3.95715398954873,0.1327831977699491,3.72366398162517,39.0,84.2,80.7,0.9271634942707054,1.9603489624817,0.5,4.723,92.256,3880.3661971830984,72419.19139534884,17433.88142857143,71.0,129.0,70.0,275506.0,9342075.69,1220371.7,634341.0,0.0029664068902121,4139542.999999999,4070463.0,7557487.0,1.0,0.0,0.0003715566596785,0.0001731590052738,60137.0,0.002446828533785,0.0,0.23186051826669413,0.6962152738959906,1.54741927104941,1.0081341418343457
Israel,2017,0.2385259508717566,358451839052.991,0.455382625487762,0.4785711793832461,0.2078010992700233,0.16314628013803978,56.2801142540924,0.8671896349402819,0.5532550751171181,45.631,45.566,49.216,49.315,47.463,2.765,2.731,2.805,6.849,8.213,6.225,4.241,4.051,4.14,7.761,6.604,7.151,3.68400955478089,0.1327831977699491,4.71262751632939,38.2,84.6,80.6,0.932032465308581,1.93872567441099,0.7,4.14,92.336,3831.2957746478874,72525.60255813954,18854.06714285714,71.0,129.0,70.0,272022.0,9355802.73,1319784.7,637763.0,0.0030707830407568,4213721.0,4148075.0,7683807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22316352507088993,0.699212481941681,1.6171743538090193,0.0
